city_id,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Batemans Bay,AU,2022-05-09 00:40:22,-35.7167,150.1833,66.9,60,4,4.72
251,Sao Joao Da Barra,BR,2022-05-09 00:29:55,-21.6403,-41.0511,70.86,75,15,10.85
252,Hearst,CA,2022-05-09 00:43:03,49.6835,-83.6665,64.65,42,100,7.05
253,Geilo,NO,2022-05-09 00:43:03,60.5333,8.2076,37.71,65,100,6.96
254,Vung Tau,VN,2022-05-09 00:43:03,10.346,107.0843,79.66,85,100,13.62
255,Trairi,BR,2022-05-09 00:42:09,-3.2778,-39.2689,77.56,86,100,5.1
256,Saint-Augustin,CA,2022-05-09 00:43:04,51.226,-58.6502,36.57,78,26,6.08
257,Prince Rupert,CA,2022-05-09 00:43:05,54.3161,-130.3201,50.09,74,100,14.97
258,Vostok,RU,2022-05-09 00:43:05,46.4856,135.8833,49.87,46,100,11.32
259,Los Llanos De Aridane,ES,2022-05-09 00:43:05,28.6585,-17.9182,60.55,77,0,11.5
260,Constitucion,CL,2022-05-09 00:40:21,-35.3333,-72.4167,53.4,94,100,5.95
261,East London,ZA,2022-05-09 00:43:06,-33.0153,27.9116,62.47,75,97,11.36
262,Vitim,RU,2022-05-09 00:43:06,59.4511,112.5578,33.49,79,100,9.55
263,Cockburn Town,TC,2022-05-09 00:43:07,21.4612,-71.1419,80.56,78,40,3.44
264,Rehoboth,NA,2022-05-09 00:40:38,-23.3167,17.0833,45.84,50,0,2.77
265,Genoa,IT,2022-05-09 00:43:08,44.4129,8.9573,63.82,68,0,14.97
266,Sorkjosen,NO,2022-05-09 00:43:08,69.8,20.9333,33.8,86,75,2.3
267,Naranjal,EC,2022-05-09 00:43:09,-2.6667,-79.6167,76.78,88,48,1.5
268,Tongzi,CN,2022-05-09 00:43:09,28.7829,105.0877,64.27,96,100,13.76
269,Whitefish,US,2022-05-09 00:34:49,48.4111,-114.3376,47.41,52,100,11.5
270,Broome,US,2022-05-09 00:43:09,42.2506,-75.833,57.58,26,0,6.91
271,Luangwa,ZM,2022-05-09 00:43:10,-15.6167,30.4167,66.87,72,9,1.81
272,Saint-Pierre,RE,2022-05-09 00:43:10,-21.3393,55.4781,70.92,73,0,6.91
273,Svetlogorsk,BY,2022-05-09 00:38:47,52.6333,29.7333,45.68,93,85,7.05
274,Alice Springs,AU,2022-05-09 00:43:11,-23.7,133.8833,51.35,43,100,4.61
275,Dunedin,NZ,2022-05-09 00:44:12,-45.8742,170.5036,60.8,70,95,5.01
276,Lasa,IT,2022-05-09 00:33:31,46.6166,10.7002,50.88,98,100,1.36
277,Lardos,GR,2022-05-09 00:44:12,36.0942,28.0157,63.95,72,96,5.35
278,Tarakan,ID,2022-05-09 00:44:13,3.3,117.6333,78.3,94,100,0.0
279,Chifeng,CN,2022-05-09 00:44:13,42.2683,118.9636,62.1,19,0,9.71
280,Vila Praia De Ancora,PT,2022-05-09 00:44:14,41.811,-8.8526,64.71,70,24,1.86
281,Tautira,PF,2022-05-09 00:44:14,-17.7333,-149.15,80.89,78,55,8.66
282,Paamiut,GL,2022-05-09 00:36:07,61.994,-49.6678,31.51,92,99,18.21
283,Port-Cartier,CA,2022-05-09 00:44:15,50.0334,-66.8654,43.02,90,15,4.03
284,Sarahan,IN,2022-05-09 00:44:15,31.5167,77.8,57.65,53,8,5.21
285,Ust-Kuyga,RU,2022-05-09 00:44:15,70.0167,135.6,29.53,96,100,7.2
286,Kenai,US,2022-05-09 00:44:16,60.5544,-151.2583,56.03,49,0,13.8
287,Guayanilla,PR,2022-05-09 00:44:16,18.0191,-66.7918,80.44,87,18,5.26
288,Necochea,AR,2022-05-09 00:42:36,-38.5473,-58.7368,61.05,77,100,10.13
289,Tura,IN,2022-05-09 00:44:17,25.5198,90.2201,77.77,73,0,3.38
290,Jumla,NP,2022-05-09 00:44:18,29.2747,82.1838,56.03,72,5,1.9
